Pos.,Squadra,Competizione,N. di giocatori,Età,Poss.,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Reti,Assist,R + A,R - Rig,R + A - Rig,xG,xAG,xG+xAG,npxG,npxG+xAG
77,Roma,it Serie A,21,"26,5",58.3,4,44,360,4.0,2,1,3,2,0,0,5,0,5.6,5.6,4.0,"9,5",82,161,"0,50","0,25","0,75","0,50","0,75","1,40","0,99","2,39","1,40","2,39"
78,Saint-Étienne,fr Ligue 1,25,"26,5",45.3,4,44,360,4.0,1,1,2,1,0,0,10,0,2.9,2.9,1.6,"4,5",53,121,"0,25","0,25","0,50","0,25","0,50","0,74","0,40","1,13","0,74","1,13"
79,Sevilla,es La Liga,23,"26,7",55.2,5,55,450,5.0,3,3,6,3,0,0,12,2,6.0,6.0,4.1,"10,1",84,181,"0,60","0,60","1,20","0,60","1,20","1,19","0,82","2,01","1,19","2,01"
80,Southampton,eng Premier League,24,"26,3",62.0,4,44,360,4.0,1,1,2,1,0,1,9,1,4.5,3.7,3.2,"6,9",107,176,"0,25","0,25","0,50","0,25","0,50","1,12","0,80","1,92","0,92","1,71"
81,St. Pauli,de Bundesliga,17,"27,4",59.0,3,33,270,3.0,1,1,2,1,0,0,6,0,2.2,2.2,2.0,"4,2",37,118,"0,33","0,33","0,67","0,33","0,67","0,75","0,66","1,40","0,75","1,40"
82,Strasbourg,fr Ligue 1,21,"22,4",55.3,4,44,360,4.0,7,5,12,7,0,0,11,0,6.6,6.6,5.1,"11,6",65,101,"1,75","1,25","3,00","1,75","3,00","1,65","1,26","2,91","1,65","2,91"
83,Stuttgart,de Bundesliga,21,"25,3",62.0,3,33,270,3.0,7,3,10,7,0,0,7,0,6.3,6.3,3.4,"9,7",40,131,"2,33","1,00","3,33","2,33","3,33","2,11","1,13","3,24","2,11","3,24"
84,Torino,it Serie A,21,"27,7",49.3,4,44,360,4.0,4,3,7,4,0,0,12,0,4.9,4.9,3.5,"8,3",42,114,"1,00","0,75","1,75","1,00","1,75","1,21","0,87","2,09","1,21","2,09"
85,Tottenham,eng Premier League,20,"25,6",67.0,4,44,360,4.0,5,4,9,5,0,0,10,0,5.5,5.5,3.7,"9,2",107,225,"1,25","1,00","2,25","1,25","2,25","1,39","0,91","2,30","1,39","2,30"
86,Toulouse,fr Ligue 1,19,"25,2",43.8,4,44,360,4.0,4,4,8,4,0,0,7,1,5.0,5.0,4.1,"9,1",56,142,"1,00","1,00","2,00","1,00","2,00","1,24","1,03","2,28","1,24","2,28"
87,Udinese,it Serie A,19,"27,3",39.5,4,44,360,4.0,7,5,12,7,0,1,14,1,5.2,4.4,3.6,"7,9",49,94,"1,75","1,25","3,00","1,75","3,00","1,30","0,89","2,18","1,10","1,98"
88,Union Berlin,de Bundesliga,19,"27,9",39.7,3,33,270,3.0,2,1,3,2,0,0,9,0,2.3,2.3,1.4,"3,7",22,66,"0,67","0,33","1,00","0,67","1,00","0,76","0,47","1,23","0,76","1,23"
89,Valencia,es La Liga,22,"24,3",48.6,5,55,450,5.0,3,2,5,3,0,0,10,0,3.2,3.2,2.6,"5,8",72,186,"0,60","0,40","1,00","0,60","1,00","0,64","0,52","1,16","0,64","1,15"
90,Valladolid,es La Liga,22,"26,2",43.4,5,55,450,5.0,2,2,4,2,0,0,12,1,3.3,3.3,2.7,"6,0",66,156,"0,40","0,40","0,80","0,40","0,80","0,66","0,54","1,20","0,66","1,20"
91,Venezia,it Serie A,26,"26,8",39.8,4,44,360,4.0,1,1,2,1,0,0,9,1,2.3,2.3,1.8,"4,1",54,82,"0,25","0,25","0,50","0,25","0,50","0,58","0,45","1,03","0,58","1,03"
92,Villarreal,es La Liga,20,"28,1",43.8,5,55,450,5.0,9,7,16,9,0,1,18,1,7.5,6.6,5.7,"12,3",78,193,"1,80","1,40","3,20","1,80","3,20","1,50","1,14","2,64","1,31","2,46"
93,Werder Bremen,de Bundesliga,18,"27,7",47.7,3,33,270,3.0,4,3,7,3,1,1,4,1,3.4,3.0,2.2,"5,2",36,110,"1,33","1,00","2,33","1,00","2,00","1,15","0,72","1,87","1,01","1,73"
94,West Ham,eng Premier League,21,"28,8",43.3,4,44,360,4.0,4,2,6,3,1,1,8,0,5.1,4.4,2.8,"7,1",68,112,"1,00","0,50","1,50","0,75","1,25","1,28","0,70","1,98","1,09","1,78"
95,Wolfsburg,de Bundesliga,19,"25,4",45.3,3,33,270,3.0,5,3,8,4,1,1,10,0,4.7,3.9,2.8,"6,7",32,97,"1,67","1,00","2,67","1,33","2,33","1,56","0,94","2,50","1,30","2,24"
96,Wolves,eng Premier League,22,"27,1",46.0,4,44,360,4.0,4,4,8,4,0,0,11,0,4.4,4.4,3.4,"7,7",53,103,"1,00","1,00","2,00","1,00","2,00","1,10","0,84","1,94","1,10","1,94"
